agent,flops_step,memory_bytes,t
kl_ucb:kl_ucb,1,0,160
kl_ucb:kl_ucb,1,0,161
kl_ucb:kl_ucb,1,0,162
kl_ucb:kl_ucb,1,0,163
kl_ucb:kl_ucb,1,0,164
kl_ucb:kl_ucb,1,0,165
kl_ucb:kl_ucb,1,0,166
kl_ucb:kl_ucb,1,0,167
kl_ucb:kl_ucb,1,0,168
kl_ucb:kl_ucb,1,0,169
kl_ucb:kl_ucb,1,0,170
kl_ucb:kl_ucb,1,0,171
kl_ucb:kl_ucb,1,0,172
kl_ucb:kl_ucb,1,0,173
kl_ucb:kl_ucb,1,0,174
kl_ucb:kl_ucb,1,0,175
kl_ucb:kl_ucb,1,0,176
kl_ucb:kl_ucb,1,0,177
kl_ucb:kl_ucb,1,0,178
kl_ucb:kl_ucb,1,0,179
kl_ucb:kl_ucb,1,0,180
kl_ucb:kl_ucb,1,0,181
kl_ucb:kl_ucb,1,0,182
kl_ucb:kl_ucb,1,0,183
kl_ucb:kl_ucb,1,0,184
kl_ucb:kl_ucb,1,0,185
kl_ucb:kl_ucb,1,0,186
kl_ucb:kl_ucb,1,0,187
kl_ucb:kl_ucb,1,0,188
kl_ucb:kl_ucb,1,0,189
kl_ucb:kl_ucb,1,0,190
kl_ucb:kl_ucb,1,0,191
kl_ucb:kl_ucb,1,0,192
kl_ucb:kl_ucb,1,0,193
kl_ucb:kl_ucb,1,0,194
kl_ucb:kl_ucb,1,0,195
kl_ucb:kl_ucb,1,0,196
kl_ucb:kl_ucb,1,0,197
kl_ucb:kl_ucb,1,0,198
kl_ucb:kl_ucb,1,0,199
kl_ucb:kl_ucb,1,0,200
