agent,flops_step,memory_bytes,t
epsgreedy,1,0,245
epsgreedy,1,0,246
epsgreedy,1,0,247
epsgreedy,1,0,248
epsgreedy,1,0,249
epsgreedy,1,0,250
epsgreedy,1,0,251
epsgreedy,1,0,252
epsgreedy,1,0,253
epsgreedy,1,0,254
epsgreedy,1,0,255
epsgreedy,1,0,256
epsgreedy,1,0,257
epsgreedy,1,0,258
epsgreedy,1,0,259
epsgreedy,1,0,260
epsgreedy,1,0,261
epsgreedy,1,0,262
epsgreedy,1,0,263
epsgreedy,1,0,264
epsgreedy,1,0,265
epsgreedy,1,0,266
epsgreedy,1,0,267
epsgreedy,1,0,268
epsgreedy,1,0,269
epsgreedy,1,0,270
epsgreedy,1,0,271
epsgreedy,1,0,272
epsgreedy,1,0,273
epsgreedy,1,0,274
epsgreedy,1,0,275
epsgreedy,1,0,276
epsgreedy,1,0,277
epsgreedy,1,0,278
epsgreedy,1,0,279
epsgreedy,1,0,280
epsgreedy,1,0,281
epsgreedy,1,0,282
epsgreedy,1,0,283
epsgreedy,1,0,284
epsgreedy,1,0,285
epsgreedy,1,0,286
epsgreedy,1,0,287
epsgreedy,1,0,288
epsgreedy,1,0,289
epsgreedy,1,0,290
epsgreedy,1,0,291
epsgreedy,1,0,292
epsgreedy,1,0,293
epsgreedy,1,0,294
epsgreedy,1,0,295
epsgreedy,1,0,296
epsgreedy,1,0,297
epsgreedy,1,0,298
epsgreedy,1,0,299
epsgreedy,1,0,300
epsgreedy,1,0,301
epsgreedy,1,0,302
epsgreedy,1,0,303
epsgreedy,1,0,304
epsgreedy,1,0,305
epsgreedy,1,0,306
epsgreedy,1,0,307
epsgreedy,1,0,308
epsgreedy,1,0,309
epsgreedy,1,0,310
epsgreedy,1,0,311
epsgreedy,1,0,312
epsgreedy,1,0,313
epsgreedy,1,0,314
epsgreedy,1,0,315
epsgreedy,1,0,316
epsgreedy,1,0,317
epsgreedy,1,0,318
epsgreedy,1,0,319
epsgreedy,1,0,320
epsgreedy,1,0,321
epsgreedy,1,0,322
epsgreedy,1,0,323
epsgreedy,1,0,324
epsgreedy,1,0,325
epsgreedy,1,0,326
epsgreedy,1,0,327
epsgreedy,1,0,328
epsgreedy,1,0,329
epsgreedy,1,0,330
epsgreedy,1,0,331
epsgreedy,1,0,332
epsgreedy,1,0,333
epsgreedy,1,0,334
epsgreedy,1,0,335
epsgreedy,1,0,336
epsgreedy,1,0,337
epsgreedy,1,0,338
epsgreedy,1,0,339
epsgreedy,1,0,340
epsgreedy,1,0,341
epsgreedy,1,0,342
epsgreedy,1,0,343
epsgreedy,1,0,344
epsgreedy,1,0,345
epsgreedy,1,0,346
epsgreedy,1,0,347
epsgreedy,1,0,348
epsgreedy,1,0,349
epsgreedy,1,0,350
epsgreedy,1,0,351
epsgreedy,1,0,352
epsgreedy,1,0,353
epsgreedy,1,0,354
epsgreedy,1,0,355
epsgreedy,1,0,356
epsgreedy,1,0,357
epsgreedy,1,0,358
epsgreedy,1,0,359
epsgreedy,1,0,360
epsgreedy,1,0,361
epsgreedy,1,0,362
epsgreedy,1,0,363
epsgreedy,1,0,364
epsgreedy,1,0,365
epsgreedy,1,0,366
epsgreedy,1,0,367
epsgreedy,1,0,368
epsgreedy,1,0,369
epsgreedy,1,0,370
epsgreedy,1,0,371
epsgreedy,1,0,372
epsgreedy,1,0,373
epsgreedy,1,0,374
epsgreedy,1,0,375
epsgreedy,1,0,376
epsgreedy,1,0,377
epsgreedy,1,0,378
epsgreedy,1,0,379
epsgreedy,1,0,380
epsgreedy,1,0,381
epsgreedy,1,0,382
epsgreedy,1,0,383
epsgreedy,1,0,384
epsgreedy,1,0,385
epsgreedy,1,0,386
epsgreedy,1,0,387
epsgreedy,1,0,388
epsgreedy,1,0,389
epsgreedy,1,0,390
epsgreedy,1,0,391
epsgreedy,1,0,392
epsgreedy,1,0,393
epsgreedy,1,0,394
epsgreedy,1,0,395
epsgreedy,1,0,396
epsgreedy,1,0,397
epsgreedy,1,0,398
epsgreedy,1,0,399
epsgreedy,1,0,400
epsgreedy,1,0,401
epsgreedy,1,0,402
epsgreedy,1,0,403
epsgreedy,1,0,404
epsgreedy,1,0,405
epsgreedy,1,0,406
epsgreedy,1,0,407
epsgreedy,1,0,408
epsgreedy,1,0,409
epsgreedy,1,0,410
epsgreedy,1,0,411
epsgreedy,1,0,412
epsgreedy,1,0,413
epsgreedy,1,0,414
epsgreedy,1,0,415
epsgreedy,1,0,416
epsgreedy,1,0,417
epsgreedy,1,0,418
epsgreedy,1,0,419
epsgreedy,1,0,420
epsgreedy,1,0,421
epsgreedy,1,0,422
epsgreedy,1,0,423
epsgreedy,1,0,424
epsgreedy,1,0,425
epsgreedy,1,0,426
epsgreedy,1,0,427
