agent,bandit_score,maze_score,renewal_score,overall_score
co_CO_full,0.0,0.003199360127974405,0.3541666666666667,0.11912200893154702
co_CO_full_QA,0.0,0.003199360127974405,0.3541666666666667,0.11912200893154702
kl_ucb,1.0,,,1.0
ucb1,0.8899082568807342,,,0.8899082568807342
astar,,1.0,,1.0
bfs,,1.0,,1.0
last,,,0.3333333333333333,0.3333333333333333
phase,,,1.0,1.0
