agent,flops_step,memory_bytes,t
ucb1,1,0,219
ucb1,1,0,220
ucb1,1,0,221
ucb1,1,0,222
ucb1,1,0,223
ucb1,1,0,224
ucb1,1,0,225
ucb1,1,0,226
ucb1,1,0,227
ucb1,1,0,228
ucb1,1,0,229
ucb1,1,0,230
ucb1,1,0,231
ucb1,1,0,232
ucb1,1,0,233
ucb1,1,0,234
ucb1,1,0,235
ucb1,1,0,236
ucb1,1,0,237
ucb1,1,0,238
ucb1,1,0,239
ucb1,1,0,240
ucb1,1,0,241
ucb1,1,0,242
ucb1,1,0,243
ucb1,1,0,244
ucb1,1,0,245
ucb1,1,0,246
ucb1,1,0,247
ucb1,1,0,248
ucb1,1,0,249
ucb1,1,0,250
ucb1,1,0,251
ucb1,1,0,252
ucb1,1,0,253
ucb1,1,0,254
ucb1,1,0,255
ucb1,1,0,256
ucb1,1,0,257
ucb1,1,0,258
ucb1,1,0,259
ucb1,1,0,260
ucb1,1,0,261
ucb1,1,0,262
ucb1,1,0,263
ucb1,1,0,264
ucb1,1,0,265
ucb1,1,0,266
ucb1,1,0,267
ucb1,1,0,268
ucb1,1,0,269
ucb1,1,0,270
ucb1,1,0,271
ucb1,1,0,272
ucb1,1,0,273
ucb1,1,0,274
ucb1,1,0,275
ucb1,1,0,276
ucb1,1,0,277
ucb1,1,0,278
ucb1,1,0,279
ucb1,1,0,280
ucb1,1,0,281
ucb1,1,0,282
ucb1,1,0,283
ucb1,1,0,284
ucb1,1,0,285
ucb1,1,0,286
ucb1,1,0,287
ucb1,1,0,288
ucb1,1,0,289
ucb1,1,0,290
ucb1,1,0,291
ucb1,1,0,292
ucb1,1,0,293
ucb1,1,0,294
ucb1,1,0,295
ucb1,1,0,296
ucb1,1,0,297
ucb1,1,0,298
ucb1,1,0,299
ucb1,1,0,300
ucb1,1,0,301
ucb1,1,0,302
ucb1,1,0,303
ucb1,1,0,304
ucb1,1,0,305
ucb1,1,0,306
ucb1,1,0,307
ucb1,1,0,308
ucb1,1,0,309
ucb1,1,0,310
ucb1,1,0,311
ucb1,1,0,312
ucb1,1,0,313
ucb1,1,0,314
ucb1,1,0,315
ucb1,1,0,316
ucb1,1,0,317
ucb1,1,0,318
ucb1,1,0,319
