problem,agent,mean_final_regret,n_runs
hard,co_CO_full,55.65500000000292,2
hard,co_CO_full_max,39.805000000001264,2
hard,co_CO_mid,29.405000000001714,2
hard,co_CO_router,30.37000000000192,2
hard,kl_ucb,25.969999999999906,2
hard,ts,10.579999999999856,2
hard,ucb1,31.295000000000165,2
