agent,flops_step,memory_bytes,t
co:CO_router,1,0,245
co:CO_router,1,0,246
co:CO_router,1,0,247
co:CO_router,1,0,248
co:CO_router,1,0,249
co:CO_router,1,0,250
co:CO_router,1,0,251
co:CO_router,1,0,252
co:CO_router,1,0,253
co:CO_router,1,0,254
co:CO_router,1,0,255
co:CO_router,1,0,256
co:CO_router,1,0,257
co:CO_router,1,0,258
co:CO_router,1,0,259
co:CO_router,1,0,260
co:CO_router,1,0,261
co:CO_router,1,0,262
co:CO_router,1,0,263
co:CO_router,1,0,264
co:CO_router,1,0,265
co:CO_router,1,0,266
co:CO_router,1,0,267
co:CO_router,1,0,268
co:CO_router,1,0,269
co:CO_router,1,0,270
co:CO_router,1,0,271
co:CO_router,1,0,272
co:CO_router,1,0,273
co:CO_router,1,0,274
co:CO_router,1,0,275
co:CO_router,1,0,276
co:CO_router,1,0,277
co:CO_router,1,0,278
co:CO_router,1,0,279
co:CO_router,1,0,280
co:CO_router,1,0,281
co:CO_router,1,0,282
co:CO_router,1,0,283
co:CO_router,1,0,284
co:CO_router,1,0,285
co:CO_router,1,0,286
co:CO_router,1,0,287
co:CO_router,1,0,288
co:CO_router,1,0,289
co:CO_router,1,0,290
co:CO_router,1,0,291
co:CO_router,1,0,292
co:CO_router,1,0,293
co:CO_router,1,0,294
co:CO_router,1,0,295
co:CO_router,1,0,296
co:CO_router,1,0,297
co:CO_router,1,0,298
co:CO_router,1,0,299
co:CO_router,1,0,300
co:CO_router,1,0,301
co:CO_router,1,0,302
co:CO_router,1,0,303
co:CO_router,1,0,304
co:CO_router,1,0,305
co:CO_router,1,0,306
co:CO_router,1,0,307
co:CO_router,1,0,308
co:CO_router,1,0,309
co:CO_router,1,0,310
co:CO_router,1,0,311
co:CO_router,1,0,312
co:CO_router,1,0,313
co:CO_router,1,0,314
co:CO_router,1,0,315
co:CO_router,1,0,316
co:CO_router,1,0,317
co:CO_router,1,0,318
co:CO_router,1,0,319
co:CO_router,1,0,320
co:CO_router,1,0,321
co:CO_router,1,0,322
co:CO_router,1,0,323
co:CO_router,1,0,324
co:CO_router,1,0,325
co:CO_router,1,0,326
co:CO_router,1,0,327
co:CO_router,1,0,328
co:CO_router,1,0,329
co:CO_router,1,0,330
co:CO_router,1,0,331
co:CO_router,1,0,332
co:CO_router,1,0,333
co:CO_router,1,0,334
co:CO_router,1,0,335
co:CO_router,1,0,336
co:CO_router,1,0,337
co:CO_router,1,0,338
co:CO_router,1,0,339
